Liam Spencer BOY  1 2.83
Noah Frame BOY  2 3.51
William Clemons BOY  3 1.4
James Joseph BOY  4 1.74
Logan Daugherty BOY  5 3.34
Benjamin Middleton BOY  6 0.15
Mason Burton BOY  7 2.9
Elijah Travis BOY  8 1.03
Oliver Byrd BOY  9 1.08
Jacob Henderson BOY  10 3.05
Lucas Hopper BOY  11 3.56
Michael Franklin BOY  12 2.52
Alexander Little BOY  13 3.98
Ethan Fitzgerald BOY  14 0.19
Daniel Browning BOY  15 1.7
Matthew Mata BOY  16 1.98
Aiden Kelley BOY  17 0.2
Henry Hicks BOY  18 0.1
Joseph Underwood BOY  19 1.85
Jackson Simpson BOY  20 1.56
Samuel Mckeown BOY  21 0.29
Sebastian Kirkland BOY  22 2.79
David Benitez BOY  23 0.23
Carter Dixon BOY  24 1.72
Wyatt Hills BOY  25 1.44
Jayden Blair BOY  26 0.79
John Fuller BOY  27 1.04
Owen Hussain BOY  28 2.36
Dylan Hough BOY  29 2.25
Luke Rees BOY  30 3.81
Gabriel Leon BOY  31 1.89
Anthony Whittle BOY  32 2.69
Isaac Monroe BOY  33 0.46
Grayson Lucas BOY  34 1.85
Jack Payne BOY  35 3.94
Julian Simpson BOY  36 2.33
Levi Davison BOY  37 2.0
Christopher Wells BOY  38 3.84
Joshua Newman BOY  39 1.41
Andrew Middleton BOY  40 1.97
Lincoln Kane BOY  41 3.94
Mateo Calhoun BOY  42 2.55
Ryan Mercer BOY  43 0.12
Jaxon Meadows BOY  44 3.29
Nathan Alvarado BOY  45 0.04
Aaron Williams BOY  46 3.16
Isaiah Wiley BOY  47 0.15
Thomas Roman BOY  48 3.64
Charles O'Ryan BOY  49 2.28
Caleb Hartley BOY  50 2.67
Josiah Joseph BOY  51 3.33
Christian Daniels BOY  52 2.84
Hunter Salter BOY  53 3.65
Eli Stokes BOY  54 2.06
Jonathan Riggs BOY  55 1.3
Connor Atkins BOY  56 3.47
Landon Sherman BOY  57 3.0
Adrian Harper BOY  58 3.55
Asher Ibarra BOY  59 0.33
Cameron Frye BOY  60 3.92
Leo Dillon BOY  61 2.53
Theodore Talbot BOY  62 0.01
Jeremiah Arroyo BOY  63 0.17
Hudson Hibbert BOY  64 3.99
Robert Foley BOY  65 2.16
Easton Hamilton BOY  66 2.14
Nolan Parks BOY  67 2.68
Nicholas Ryder BOY  68 0.92
Ezra Chung BOY  69 3.56
Colton Mcintyre BOY  70 0.39
Angel O'Sullivan BOY  71 1.72
Brayden Matthams BOY  72 2.38
Jordan Patrick BOY  73 0.05
Dominic Cottrell BOY  74 1.15
Austin Clemons BOY  75 2.2
Ian Mcdermott BOY  76 1.43
