Liam Marks BOY  1 0.64
Noah Bartlett BOY  2 1.5
William Macdonald BOY  3 1.09
James Cantrell BOY  4 3.47
Logan Richard BOY  5 3.23
Benjamin Childs BOY  6 1.34
Mason Sampson BOY  7 2.44
Elijah Young BOY  8 1.61
Oliver Gray BOY  9 0.0
Jacob Wyatt BOY  10 2.52
Lucas Leigh BOY  11 0.58
Michael Skinner BOY  12 1.24
Alexander Powell BOY  13 3.21
Ethan Tillman BOY  14 0.97
Daniel Wills BOY  15 0.14
Matthew Blair BOY  16 1.8
Aiden Gillespie BOY  17 1.5
Henry Contreras BOY  18 0.67
Joseph Mason BOY  19 1.35
Jackson Salgado BOY  20 0.74
Samuel Horton BOY  21 2.76
Sebastian Searle BOY  22 3.81
David Cullen BOY  23 1.52
Carter Swanson BOY  24 3.05
Wyatt Bowler BOY  25 0.34
Jayden Hayden BOY  26 0.13
John Huynh BOY  27 0.89
Owen Harvey BOY  28 0.4
Dylan Ali BOY  29 2.08
Luke Chandler BOY  30 0.77
Gabriel Gross BOY  31 1.01
Anthony Robbins BOY  32 3.84
Isaac Wade BOY  33 3.95
Grayson Davie BOY  34 2.07
Jack Page BOY  35 1.81
Julian Colon BOY  36 2.28
Levi Hendricks BOY  37 3.81
Christopher Aguirre BOY  38 1.75
Joshua Potter BOY  39 2.51
Andrew Maddox BOY  40 1.64
Lincoln Howell BOY  41 0.58
Mateo Lees BOY  42 3.6
Ryan Abbott BOY  43 0.31
Jaxon Tyler BOY  44 0.87
Nathan Davies BOY  45 0.91
Aaron Thatcher BOY  46 0.66
Isaiah Baker BOY  47 3.34
Thomas Simmons BOY  48 1.17
Charles Lake BOY  49 0.63
Caleb Talley BOY  50 2.02
Josiah Eastwood BOY  51 2.5
Christian Hanson BOY  52 3.13
Hunter Norman BOY  53 0.28
Eli Matthams BOY  54 3.51
Jonathan Macdonald BOY  55 0.38
Connor Ellwood BOY  56 0.1
Landon Bender BOY  57 2.19
Adrian Talley BOY  58 2.83
Asher Wong BOY  59 2.88
Cameron Paul BOY  60 3.48
Leo Browning BOY  61 0.35
Theodore Hobbs BOY  62 0.25
Jeremiah Redmond BOY  63 3.99
Hudson Curtis BOY  64 2.58
Robert Corbett BOY  65 1.29
Easton Horner BOY  66 3.14
Nolan Chadwick BOY  67 1.05
Nicholas Mcdowell BOY  68 2.58
Ezra Villegas BOY  69 1.36
Colton James BOY  70 2.9
Angel Schultz BOY  71 1.58
Brayden Howarth BOY  72 3.77
Jordan Frame BOY  73 0.22
Dominic Weber BOY  74 3.05
Austin Lees BOY  75 1.09
Ian Hernandez BOY  76 3.86
Adam Soto BOY  77 0.35
Elias Guy BOY  78 0.6
Jaxson Zavala BOY  79 2.27
Greyson Paul BOY  80 1.94
Jose Lopez BOY  81 0.47
Ezekiel Herbert BOY  82 2.58
Carson Tyler BOY  83 3.45
Evan Deacon BOY  84 2.38
Maverick Hubbard BOY  85 3.85
Bryson Cannon BOY  86 0.02
